ID,Name,Type,Form,Chainage,River,Basin,Length_m,Width_m,Height_m,Diam_m,Openings,InvElev_m,CrestElv,Cap_MW,Vol_Mm3,Catch_km2,Elev_m,Grade,Operation,Purpose,SvcArea,IrrigSys,Country,Complete,Location,Province,District,Ward,Manager,YearBuilt,YearUpdate,Status,Notes,Shape
2928,C?ng T5,C?ng ði?u ti?t,C?ng h?p,K1+150,,,0.0,2.0,2.0,0.0,1,,,,,,,,,Tiêu,0.0,HTTL R?ch C?u Sõn - R?ch C?u Ðen,,,X? An Nhõn Tây huy?n C? Chi,,,,CTQLKT&DVTL,,2018,,,"{""type"": ""Point"", ""coordinates"": [106.518452992669, 11.094507111638]}"
2929,C?ng T6,C?ng ði?u ti?t,C?ng h?p,K1+300,,,0.0,2.0,2.0,0.0,1,,,,,,,,,Tiêu,0.0,HTTL R?ch C?u Sõn - R?ch C?u Ðen,,,X? An Nhõn Tây huy?n C? Chi,,,,CTQLKT&DVTL,,2018,,,"{""type"": ""Point"", ""coordinates"": [106.519176293465, 11.093327642783]}"
2941,C?ng 2+890,C?ng ði?u ti?t,C?ng tr?n,K2+890,,,8.0,0.0,0.0,100.0,1,,,,,,,,,"Tý?i,tiêu",0.0,HTTL Thai Lai - B?n Súc,,,X? Phú M? Hýng,,,,CTQLKT&DVTL,,2018,,,"{""type"": ""Point"", ""coordinates"": [106.468634516398, 11.151220973148]}"
3343,C?ng T3,C?ng ði?u ti?t,C?ng h?p,K0+850,,,0.0,2.0,2.0,0.0,1,,,,,,,,,Tiêu,0.0,HTTL R?ch C?u Sõn - R?ch C?u Ðen,,,X? An Nhõn Tây huy?n C? Chi,,,,CTQLKT&DVTL,,2018,,,"{""type"": ""Point"", ""coordinates"": [106.516760464291, 11.09675685689]}"
3374,NT10-5,C?ng ði?u ti?t,C?ng tr?n,,,,6.0,0.0,0.0,80.0,1,,,,,,,IV,,"Tý?i,tiêu",0.0,HTTL An Phú-PMH,,,X? An Phú,,,,CTQLKT&DVTL,,2018,,,"{""type"": ""Point"", ""coordinates"": [106.50634379282, 11.129230287426]}"
3375,C?ng T4-2,C?ng ð?u kênh,C?ng h?p,,,,0.0,1.4,1.4,0.0,1,"-1,5",,,,,,IV,,Tiêu,0.0,HTTL An Phú-PMH,,,X? An Phú,,,,CTQLKT&DVTL,,2018,,,"{""type"": ""Point"", ""coordinates"": [106.517394727002, 11.12066941955]}"
3470,C?ng T4-6,C?ng ði?u ti?t,C?ng tr?n,,,,6.0,0.0,0.0,100.0,1,,,,,,,IV,,Tiêu,0.0,HTTL An Phú-PMH,,,X? An Phú,,,,CTQLKT&DVTL,,2018,,,"{""type"": ""Point"", ""coordinates"": [106.512828018828, 11.117730799207]}"
3471,NT10-3,C?ng ði?u ti?t,C?ng tr?n,,,,6.0,0.0,0.0,80.0,1,,,,,,,IV,,"Tý?i,tiêu",0.0,HTTL An Phú-PMH,,,X? An Phú,,,,CTQLKT&DVTL,,2018,,,"{""type"": ""Point"", ""coordinates"": [106.509372508864, 11.130946407978]}"
3499,C?ng T7,C?ng ði?u ti?t,C?ng h?p,K1+600,,,0.0,2.0,2.0,0.0,1,,,,,,,,,Tiêu,0.0,HTTL R?ch C?u Sõn - R?ch C?u Ðen,,,X? An Nhõn Tây huy?n C? Chi,,,,CTQLKT&DVTL,,2018,,,"{""type"": ""Point"", ""coordinates"": [106.520577295383, 11.091043032425]}"
3660,C?ng Kênh T2-1,C?ng ð?u kênh,,,,,0.0,0.0,0.0,0.0,0,,,,,,,,,,0.0,,,,X? An Phú,,,,UBND huy?n C? Chi,,2022,,,"{""type"": ""Point"", ""coordinates"": [106.52518333942, 11.109727549971]}"
