ID,Name,Type,Length_m,Width_m,BedElev_m,LeftBank,RightBank,SlopCoef,Material,Grade,Purpose,SvcArea,IrrigSys,FlowDir,FromNode,ToNode,RouteShape,XSType,WtrLevel,XSArea,Location,Province,District,Ward,Manager,YearBuilt,YearUpdate,Status,Notes
363,R?ch Bà Tài (T2),Canal,1.383,,,,,"1,5",,IV,"Tý?i, tiêu",50.43,HTTL An Phú-PMH,,N363_start,N363_end,"{""type"": ""LineString"", ""coordinates"": [[106.526956531807, 11.10981056783], [106.526245378238, 11.109859325289], [106.526129684688, 11.10987676976], [106.525863583419, 11.10991460574], [106.525698685676, 11.109926461486], [106.525507731559, 11.109932668891], [106.5253485679, 11.109924505834], [106.525177687002, 11.109862076728], [106.524969206119, 11.109805459707], [106.524792652443, 11.109785910354], [106.524592995326, 11.109783566499], [106.524422310612, 11.109795436436], [106.524257360073, 11.109787287683], [106.524080131768, 11.109727103639], [106.523712159274, 11.109642280929], [106.523524732697, 11.109569128889], [106.52343494477, 11.109535067289], [106.523365358467, 11.109480949911], [106.523249333692, 11.109372656547], [106.523147926831, 11.109321478542], [106.523046878314, 11.109300353724], [106.522946836759, 11.109301499295], [106.5228224039, 11.109292784631], [106.522655924337, 11.109279876383], [106.522562542118, 11.109268154606], [106.5224179517, 11.109246842075], [106.522273441176, 11.109256247892], [106.522138064539, 11.10926020864], [106.522045049729, 11.109258359762], [106.522014917965, 11.109257476941], [106.521882471863, 11.109253597392], [106.521695358943, 11.10927760676], [106.521536102465, 11.109245490062], [106.521387753702, 11.109186241984], [106.521302955301, 11.109152343226], [106.521162161281, 11.109076403229], [106.521077669991, 11.109028018968], [106.520870191217, 11.108927970524], [106.520706459241, 11.108879269226], [106.52050216737, 11.108835841899], [106.520297932283, 11.108814389875], [106.520147390941, 11.108804433638], [106.520036082719, 11.108782743686], [106.51996660706, 11.108741556685], [106.519895818144, 11.108699080236], [106.519747313866, 11.108590069297], [106.519773242932, 11.108440384891], [106.519732189114, 11.108391331356], [106.51956802265, 11.10821368888], [106.519506991072, 11.108138468987], [106.519251962755, 11.107813364229], [106.519025315969, 11.107523923738], [106.518725222711, 11.107133484086], [106.51838377683, 11.106686700838], [106.518095668709, 11.106304106817], [106.517800901229, 11.105916277825], [106.517575475935, 11.105613602158], [106.517204709472, 11.105135385044], [106.517126790643, 11.105033472169], [106.517113699859, 11.105008846688], [106.517105502718, 11.104987426249], [106.51709785258, 11.104967611815], [106.517090188445, 11.104942437313], [106.517085241614, 11.104918863287], [106.517079217092, 11.10489797251], [106.517062176432, 11.104815464528], [106.517044494084, 11.104695434739], [106.517024696958, 11.104596316457], [106.517015438399, 11.104509133702], [106.516915552637, 11.104498563915], [106.516831489374, 11.104484344843], [106.516794902505, 11.104463992038], [106.516761997976, 11.104454454028], [106.516778906035, 11.104400288298], [106.516807965882, 11.104336468932], [106.516839445769, 11.104266630573], [106.516856356028, 11.104213667218], [106.516896260076, 11.104105320246], [106.516908245448, 11.104031922561], [106.516923884892, 11.103958516475], [106.516970818884, 11.103744311], [106.517015374513, 11.10355176083], [106.517098774881, 11.103312204252], [106.517216059137, 11.102990776585], [106.517540583842, 11.102182147967]]}",,,,Huy?n C? Chi,,,,CTQLKT&DVTL,,2018,,
389,Kênh Da,Canal,1.057,3,-2,"+2,0",,"1,5",Ð?t + s?i + tý?ng ch?n b?ng BT,,"Tý?i, tiêu",46.810001,HTTL Thai Lai - B?n Súc,,N389_start,N389_end,"{""type"": ""LineString"", ""coordinates"": [[106.465510225144, 11.156959852782], [106.465345709027, 11.156925163494], [106.465222546731, 11.156864721084], [106.465164066051, 11.156778551324], [106.465150929189, 11.156701863615], [106.465153931895, 11.156605956968], [106.465153697308, 11.156510058946], [106.465163174602, 11.156414136855], [106.465218792344, 11.156252189116], [106.465294746907, 11.15607649551], [106.465315201372, 11.156031480805], [106.465323944134, 11.156002449713], [106.465329720589, 11.155961821243], [106.465329642513, 11.155929910081], [106.465320754249, 11.155899470043], [106.465303074464, 11.155877755223], [106.465280997999, 11.155860401206], [106.465257469868, 11.155850303886], [106.465163511763, 11.155856944088], [106.465104438798, 11.155854549105], [106.465053008851, 11.155826777128], [106.465011776651, 11.155768548508], [106.464936929604, 11.155616570826], [106.464836426151, 11.155474797788], [106.464751504591, 11.155403992994], [106.464658923271, 11.155350959368], [106.464404452, 11.155257735638], [106.464342718184, 11.155217307792], [106.464231980188, 11.155090775064], [106.464118556578, 11.154916065229], [106.464057293979, 11.154878102458], [106.463718934732, 11.154929678863], [106.463384556215, 11.153922707215], [106.463236158983, 11.15332538972], [106.462917796735, 11.152633174183], [106.46305540758, 11.151789497459], [106.462913894725, 11.151608915043], [106.462801691327, 11.151426454785], [106.462669232681, 11.151202430703], [106.462588236879, 11.151045223331], [106.462497935176, 11.150828335969], [106.462453175616, 11.150653115037]]}",,,,Huy?n C? Chi,,,,CTQLKT&DVTL,,2018,,
410,Kênh T7-2,Canal,193.0,,,,,"1,5",,V,"Tý?i, tiêu",4.58,HTTL An Phú-PMH,,N410_start,N410_end,"{""type"": ""LineString"", ""coordinates"": [[106.492087160909, 11.140514400886], [106.491945114497, 11.14047629361], [106.491567201716, 11.14037389331], [106.490159272922, 11.140511320899]]}",,,,Huy?n C? Chi,,,,CTQLKT&DVTL,,2018,,
411,Kênh NT9-1,Canal,455.0,,,,,"1,5",,V,"Tý?i, tiêu",4.12,HTTL An Phú-PMH,,N411_start,N411_end,"{""type"": ""LineString"", ""coordinates"": [[106.510341222179, 11.127966372508], [106.510465648637, 11.127825599302], [106.510616164265, 11.12763206937], [106.510966703843, 11.127242438518], [106.511522088543, 11.126607796649]]}",,,,Huy?n C? Chi,,,,CTQLKT&DVTL,,2018,,
421,Kênh T3-3,Canal,275.0,,,,,"1,5",,V,"Tý?i, tiêu",4.31,HTTL An Phú-PMH,,N421_start,N421_end,"{""type"": ""LineString"", ""coordinates"": [[106.521131259851, 11.114261937186], [106.521163266675, 11.114132808747], [106.521177501688, 11.114061677088], [106.521513868183, 11.112814434813], [106.521827922979, 11.111696173831]]}",,,,Huy?n C? Chi,,,,CTQLKT&DVTL,,2018,,
438,Kênh s? 2,Canal,1.008,2,"-1,5",2,,"1,5",Ð?t + s?i + tý?ng ch?n b?ng BT,,"Tý?i, tiêu",36.869999,HTTL Thai Lai - B?n Súc,,N438_start,N438_end,"{""type"": ""LineString"", ""coordinates"": [[106.467203352878, 11.155419087265], [106.467156337737, 11.155299590513], [106.467130801091, 11.155234686187], [106.467109075152, 11.155184080321], [106.467084275566, 11.155134871336], [106.467056492504, 11.155087241634], [106.465403592905, 11.15244280695], [106.465321738484, 11.152311849027], [106.464727826978, 11.151361648574], [106.464699952409, 11.151312224266], [106.464675262614, 11.151261175011], [106.464653854209, 11.151208701279], [106.464471910237, 11.150719062301], [106.464450008074, 11.150652189922], [106.464433433335, 11.150583839378], [106.464399482455, 11.150415129383], [106.464386101701, 11.150364291831], [106.464366838805, 11.150315331545], [106.464341954467, 11.150268907864], [106.464311784384, 11.150225648305], [106.464154271071, 11.150047995727]]}",,,,Huy?n C? Chi,,,,CTQLKT&DVTL,,2018,,
441,Kênh T2-1,Canal,244.0,,,,,"1,5",,V,"Tý?i, tiêu",4.95,HTTL An Phú-PMH,,N441_start,N441_end,"{""type"": ""LineString"", ""coordinates"": [[106.5253485679, 11.109924505834], [106.525534174639, 11.10799624945]]}",,,,Huy?n C? Chi,,,,CTQLKT&DVTL,,2018,,
442,Kênh T8-9,Canal,298.0,,,,,"1,5",,IV,"Tý?i, tiêu",4.12,HTTL An Phú-PMH,,N442_start,N442_end,"{""type"": ""LineString"", ""coordinates"": [[106.48428974446, 11.13197751897], [106.484295172688, 11.131949601194], [106.484354365672, 11.131053196149]]}",,,,Huy?n C? Chi,,,,CTQLKT&DVTL,,2018,,
450,Kênh NT10,Canal,712.0,,,"+1,5",,"1,5",,IV,"Tý?i, tiêu",76.260002,HTTL An Phú-PMH,,N450_start,N450_end,"{""type"": ""LineString"", ""coordinates"": [[106.505891778187, 11.128964634337], [106.50634379282, 11.129230287426], [106.506406984631, 11.129270067465], [106.506606258277, 11.129337269161], [106.506914293753, 11.129525181169], [106.508045053689, 11.130169967121], [106.508467854887, 11.130430342098], [106.508907180041, 11.130674272539], [106.509372508864, 11.130946407978], [106.509727966256, 11.131154287678], [106.509928948752, 11.131247465064], [106.5102085682, 11.131365467415], [106.510540036345, 11.131495320509], [106.511107307609, 11.131678132696], [106.51144133423, 11.131791792187], [106.511691745392, 11.1318642624], [106.511822923854, 11.131905789043], [106.512156409139, 11.132001191827], [106.512702574976, 11.13217035266]]}",,,,Huy?n C? Chi,,,,CTQLKT&DVTL,2009,2018,,
460,Kênh NT3-2,Canal,194.0,,,,,"1,5",,V,"Tý?i, tiêu",4.25,HTTL An Phú-PMH,,N460_start,N460_end,"{""type"": ""LineString"", ""coordinates"": [[106.52254845119, 11.105514034742], [106.523516167729, 11.106114851936]]}",,,,Huy?n C? Chi,,,,CTQLKT&DVTL,,2018,,
