ID,Name,Source,SewerLine,Type,Grade,NumPumps,Cap_m3s,InElev_m,OutElev_m,AutoMonit,TrashScr,Purpose,SvcArea,IrrigSys,StreetID,Location,Province,District,Ward,Manager,YearBuilt,YearUpdate,Status,Notes,Shape
18,Tr?m bõm An Phú,,,,,,0.0,,,,,,0.0,,,"X? An Phú Tây, huy?n C? Chi",,,,,,2022,,,"{""type"": ""Point"", ""coordinates"": [106.482400700232, 11.093000003074]}"
1,Bom_1,Lake_1,,,,1,900.0,,,,,,,,,,,,,,,,,,"{""type"": ""Point"", ""coordinates"": [106.50399850391355, 11.13420918785338]}"
